NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Blood neutrophil	V neutrophil
LXN	102.9096279	144.6909506	270.1675674	200.3861158	325.1396361	420.737401	317.2123444	525.3350651	248.89205119	528.0339985	194.33330935	189.6289053	156.5125287	385.4733408	1004.744906	674.8536686	408.6435712	1312.254673	2185.8654025	3086.19332	196.08576705	68	14
LY6E	98.1102047	525.93219665	390.4310765	1320.0106795	891.4256403	962.438831500001	775.6182137	323.0789819	475.7111443	2574.5962156	1012.66069455	1167.289426	494.6829543	358.70923405	10235.25884	1745.958284	284.55647525	3651.533023	228.88925095	262.8992478	73.50440921	55	48.85326345
LY75	896.989983699999	886.65868935	840.822527300001	1746.989811	983.961933999999	1822.940481	898.323415299999	829.655357699999	2813.205168	975.5420839	1667.2568225	1204.667741	829.6913638	411.98801055	3242.503421	939.0880566	562.5993808	5792.0667955	1519.344652	1095.9810914	776.6574329	691	292
LY86	4491.391691	5475.709748	772.365817799999	404.71389835	416.9288484	240.9488905	170.1678725	213.8887213	1539.10391375	470.8077305	272.15042605	211.9715822	5743.2360335	1923.0538425	1294.027335	6458.530223	2074.676879	564.03417795	260.7229098	186.4608765	586.4660426	122	3
LY9	467.2709568	669.1189514	548.6363605	1303.901214	1900.353893	1318.174763	60.82095667	1034.860658	1094.3677276	263.65471627	286.51367415	29.70930559	30.716115305	32.60427502	24.07518071	244.0599453	80.658099705	31.59877466	44.486547595	18.716955465	68.579170715	15	1
LY96	331.9940006	648.0558275	2960.470357	262.8107656	462.4358561	539.9585903	756.4705246	1347.860418	334.1526982	719.2565954	94.32991203	63.07146664	2781.8400565	3379.118765	835.4120825	4249.967582	3705.789813	1824.390559	493.14412735	350.3694	128.02683108	713	156
LYL1	230.9145967	185.8990585	56.45433581	57.74106323	112.206936	38.63841786	16.99488903	223.8768759	89.54755335	294.57833845	154.46056865	39.34778023	855.4299596	222.96159025	35.61192383	502.4658192	193.86497085	25.931287815	2002.957928	1823.514013	1474.6600768	178	80
LYZ	438.3232207	55.93358399	172.0335192	417.7637191	175.1887692	248.6462058	16.35602967	11.40789302	5468.419264	110.56394499	5940.4822755	1802.940966	13376.64137	9059.81296699999	6636.542331	7206.16983199999	6289.9840665	6233.8271145	5136.658159	3683.879145	3235.448347	4148	3836
MAD1L1	156.9375371	204.2790897	23.02178413	1045.4433158	1920.972581	954.5052188	259.4312085	993.0328049	621.040633987	1167.17655815	369.9029893	190.6501683	311.30794515	448.8808837	68.81652557	780.0044613	505.44369335	166.65349735	329.214497	234.93301485	94.535227095	41	10.086854466
MAD2L1	330.7131096	233.899937	227.8315439	530.8998789	190.7602673	469.8953101	2603.019625	433.9181599	231.4985884	234.57713855	196.1926643	691.0302898	37.04044259	101.83586567	26.22053674	39.96929674	74.189442765	63.4690839	238.36967825	253.01839346	58.420713115	24	5
MAF	28.10585841	28.77741154	17.15223521	259.53240355	121.6088407	1047.651346	1721.999116	3094.383389	434.86171405	625.8802567	361.3797765	203.0258546	61.272059865	126.0668396	14.2197221	945.713342000001	671.19262685	16.15473583	242.0953193	128.56077799	123.90967951	17	10
