NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	VAT.neut	Other.neut
MLC1	11.62719858580541	7.059267075477841	21.105915781307463	49.586889948781256	6.639809728978263	13.801512999114719	10.969687704233047	9.820059855663393	18.08508489536908	20.167457588268256	553.4897599457829	174.4661650976553	46.392974967210144	13.68075622526315	16.668080553163982	30.467501454140233	11.045699532174801	11.02864136928827	126.72705879580138	139.35793300084876	10.951050469256266	46.91141634567762	25.302490000336604
MLLT1	4.6421230946523595	6.375719894132109	4.008329342454377	4.481105368689847	4.181099618838343	3.696303952612999	5.393937303110148	3.519333437243133	8.903491851214408	9.767725069895995	6.690537132332586	5.856120088871247	4.756459232825716	4.799754105480357	12.914301643258474	6.510796899252143	5.189684522183693	3.992149574855255	2.9616241044325147	12.305390764623235	5.231221749490192	1990.9363889005747	12.839388484334169
MME	31.102916444406087	27.719203174646175	25.194129927395476	16.23171395965675	14.59025993187909	22.22379963942624	13.357297909207546	26.984216510625583	18.144083979170247	46.34057460461212	16.902232806496272	14.214880171216471	14.622564906864081	19.914430775506656	11.444146712133884	10.538338788602626	15.12803230033272	14.452099435399848	27.073822929703237	31.408282979688934	19.502471019837817	208.2630155970666	3136.945099623218
MMP12	536.6387563896582	309.1070868397786	81.21557829772428	39.08795491403542	26.92818299481891	55.79338381444025	50.660014068101866	39.39697289157795	129.45903498108783	146.10379477379155	47.70551796562941	41.38850780692033	46.443499908117445	128.137979143782	233.28320219438842	115.78181344655256	13556.0037614768	3238.404708081359	108.17090466568185	2353.5973047275024	126.93533913780031	12.795072324096784	12.408516455889394
MMP25	64.63047350702794	61.243452739412376	100.71373788428697	111.54772819797778	124.34486141884652	84.5676905187139	55.28145937953829	80.89629011168319	66.51914497172056	216.10526754899047	73.9587609661479	282.44115084911675	269.36408606570376	57.00987460864637	816.100631354188	379.5872921767368	364.7141804885687	845.259763211425	72.27295338065188	91.18962531948986	980.7003567499186	9478.480705126078	3636.2299097916657
MMP9	193.3224344006638	229.65659437935258	208.47531382010857	160.26864972791898	213.5707057620176	234.46404765955862	139.08233424099907	256.35841805179314	193.08370353120728	237.4767043300739	494.66947689919607	156.1244787857187	187.91016866647186	35696.1712595585	2180.0928461818485	13398.358776818182	2643.550040435512	2335.166826968279	910.9967571935242	11146.012564760953	433.97859581275276	2477.9648517729	3395.9751530434387
MNDA	16.83004959431643	150.460875391136	4.839103629853165	26.4705121621993	7.3452336272049275	7.030431086007737	4.557241765800767	9.546281976231452	1833.3913413526966	20.46091756738393	564.0441581538398	167.25779519497146	9652.924168115333	2149.98255909442	3245.465006770623	1467.1638873759446	3745.7454215120574	1718.9293082990685	1780.1648069089308	997.4418068072429	2652.895982462879	13206.426036841942	19296.02059112994
MS4A1	15948.587207452116	15811.79953417636	237.9619747442103	203.82191235451694	26.81563640841381	117.01654029777134	60.383618400240806	54.29287406422238	334.8350295693589	150.36494955465025	99.25624025774181	89.31141026224094	62.34611215102795	17.750536288291542	45.72866483769471	31.785432993340056	31.909500330767585	59.362905500850914	38.85562266395599	26.209235807714354	502.33011000484186	44.31059153749274	98.19335941321809
MS4A2	74.15072804400958	95.13031620674869	57.6958632337529	53.27659849057446	48.40232161027455	53.878393031272076	45.60735003541878	38.509698116392535	60.33516832116041	33.7939931991296	45.415013066446384	34.57050882388646	26.426555435776006	34.17520248459562	33.41287868185067	33.85512348052142	35.441276078253814	45.46140140137787	3815.940086059386	2197.1103785881123	194.35506172347064	47.39665059594819	38.13940197859286
MS4A3	58.08043596183454	30.952204345299883	30.242378953056647	39.93906662776175	7.073440158002443	21.64157740949272	13.107626825311502	19.457474733844254	50.44178301228839	19.851754608090534	396.99727180008557	97.78588474411335	14.325200476509103	6.487617415757557	13.077339755430474	20.601983290587768	10.663665352866039	13.097879814729101	1602.240753702867	650.5575520095528	1095.4193229190478	58.30196963290939	82.84532514838182
