"file_id.BAM","file_name.BAM","file_id.expression","file_name.expression","cancer","source"
"a00bb3a9-e2f2-42a7-849f-483d782319e7","ebabe902-4cbb-4d49-870b-faf9e9b9c174_gdc_realn_rehead.bam","9ce91ac5-ff0b-42ea-8cf3-a0a9c724e584","c74bce4e-18cd-42af-ae4c-9bb423efa9f9.htseq.counts.gz","READ","tumor"
"4fcd18dd-13c5-4809-85c3-803fb1fe6a74","60613ca4-27f9-4578-a265-09b089027d8d_gdc_realn_rehead.bam","e90ff838-e3c9-4e63-91ea-7684509513d7","8abb55cb-7c9b-484f-9333-bf52deee1ae8.htseq.counts.gz","READ","tumor"
"4fcd18dd-13c5-4809-85c3-803fb1fe6a74","60613ca4-27f9-4578-a265-09b089027d8d_gdc_realn_rehead.bam","c0fe855c-e0dc-43f5-b909-9569d161dcbb","8abb55cb-7c9b-484f-9333-bf52deee1ae8.FPKM-UQ.txt.gz","READ","tumor"
"4fcd18dd-13c5-4809-85c3-803fb1fe6a74","60613ca4-27f9-4578-a265-09b089027d8d_gdc_realn_rehead.bam","46bebb6b-36ee-4143-8394-4966b5bcf935","8abb55cb-7c9b-484f-9333-bf52deee1ae8.FPKM.txt.gz","READ","tumor"
"95ffede8-754c-4976-950b-80aa20246b2c","9ce65391-0a43-4d49-8f2e-94c766902798_gdc_realn_rehead.bam","3d03f23c-49b2-4b3c-ba6a-22f6d954c3af","8f2d819d-6def-4f50-b2b7-d91ad528b7cc.FPKM-UQ.txt.gz","READ","tumor"
"95ffede8-754c-4976-950b-80aa20246b2c","9ce65391-0a43-4d49-8f2e-94c766902798_gdc_realn_rehead.bam","f1cfd607-5b62-4bef-a89e-96cce80756a7","8f2d819d-6def-4f50-b2b7-d91ad528b7cc.htseq.counts.gz","READ","tumor"
"95ffede8-754c-4976-950b-80aa20246b2c","9ce65391-0a43-4d49-8f2e-94c766902798_gdc_realn_rehead.bam","c37f7eb1-f9d9-455b-8227-6bc1ff5bc2ff","8f2d819d-6def-4f50-b2b7-d91ad528b7cc.FPKM.txt.gz","READ","tumor"
"523ca1b6-1cc9-4e80-93f4-ac27222f8d11","789558bd-413d-4d68-a1dc-93435ed53439_gdc_realn_rehead.bam","486a9416-2523-4d78-a2a3-19be06d66052","a95832f5-fbd1-482c-951d-8bb37fa02a4c.htseq.counts.gz","READ","tumor"
"523ca1b6-1cc9-4e80-93f4-ac27222f8d11","789558bd-413d-4d68-a1dc-93435ed53439_gdc_realn_rehead.bam","ac8dbd5d-3591-42a5-ae28-734e80ef23fb","a95832f5-fbd1-482c-951d-8bb37fa02a4c.FPKM.txt.gz","READ","tumor"
"523ca1b6-1cc9-4e80-93f4-ac27222f8d11","789558bd-413d-4d68-a1dc-93435ed53439_gdc_realn_rehead.bam","3830bbb8-65b3-4fed-83bc-bac244b19142","a95832f5-fbd1-482c-951d-8bb37fa02a4c.FPKM-UQ.txt.gz","READ","tumor"
"76230cc5-0da8-4f43-a7b7-cdaa0bf86f72","7ad89704-da2a-43b8-9cc9-774822fe107e_gdc_realn_rehead.bam","c7aaef06-e04f-4e3b-9b75-a8840b7f2da5","801ee025-dd5a-473d-b78a-521fad06cdfd.FPKM-UQ.txt.gz","READ","tumor"
"76230cc5-0da8-4f43-a7b7-cdaa0bf86f72","7ad89704-da2a-43b8-9cc9-774822fe107e_gdc_realn_rehead.bam","e45f6a57-aa2c-4d53-8e61-315506e9c86d","801ee025-dd5a-473d-b78a-521fad06cdfd.FPKM.txt.gz","READ","tumor"
"76230cc5-0da8-4f43-a7b7-cdaa0bf86f72","7ad89704-da2a-43b8-9cc9-774822fe107e_gdc_realn_rehead.bam","7ef7ce38-5696-416f-9573-e39529d71282","801ee025-dd5a-473d-b78a-521fad06cdfd.htseq.counts.gz","READ","tumor"
"6f587871-2fff-4c1b-98cf-0fbd1a4260b7","11effd44-243c-4e24-9b87-9007424bc30d_gdc_realn_rehead.bam","7ae6ab09-ac7a-4434-bb69-56633c7c7965","8967671a-ef42-44f3-8fd3-78dc01e1e608.FPKM.txt.gz","READ","tumor"
"6f587871-2fff-4c1b-98cf-0fbd1a4260b7","11effd44-243c-4e24-9b87-9007424bc30d_gdc_realn_rehead.bam","2a541785-65fc-467a-af13-4d630d9a0cbe","8967671a-ef42-44f3-8fd3-78dc01e1e608.FPKM-UQ.txt.gz","READ","tumor"
"6f587871-2fff-4c1b-98cf-0fbd1a4260b7","11effd44-243c-4e24-9b87-9007424bc30d_gdc_realn_rehead.bam","c57e9bd4-eabb-4a7e-a8a1-854db25ddca1","8967671a-ef42-44f3-8fd3-78dc01e1e608.htseq.counts.gz","READ","tumor"
"0c0ce802-2105-4444-9c31-c74788b04611","37512470-50c1-493e-bdec-d4b7f3ac11d5_gdc_realn_rehead.bam","a489a065-59d2-4a5b-8d2f-630028695407","62dbb8ae-e214-40a9-99e0-8680c3a7f565.FPKM-UQ.txt.gz","READ","tumor"
"0c0ce802-2105-4444-9c31-c74788b04611","37512470-50c1-493e-bdec-d4b7f3ac11d5_gdc_realn_rehead.bam","f1638ce5-27d4-4122-922e-3c3a7de1296c","62dbb8ae-e214-40a9-99e0-8680c3a7f565.htseq.counts.gz","READ","tumor"
"0c0ce802-2105-4444-9c31-c74788b04611","37512470-50c1-493e-bdec-d4b7f3ac11d5_gdc_realn_rehead.bam","ab63b93f-c87d-4110-8d7b-de515b7db685","62dbb8ae-e214-40a9-99e0-8680c3a7f565.FPKM.txt.gz","READ","tumor"
"1c08b3cd-5bbf-45c9-9019-d5892404901a","1bb12bfe-d763-4b29-9bc0-8a62f187abce_gdc_realn_rehead.bam","325356b7-e347-4105-9e65-aa583abc9ae1","323800b5-c319-4fd8-ac96-87193afb93e4.FPKM-UQ.txt.gz","READ","tumor"
