Gene	GSM368455	GSM368458	GSM368459	GSM368460	GSM368464	GSM368840	GSM368841	GSM368842	GSM368844	GSM368845
TPI1	1154.9729	891.38513	1075.3219	951.2352	1054.8124	1125.1396	1290.5487	1616.5162	1860.8871	1531.4169
TPK1	9.83999	10.503108	77.339226	19.70851	38.960102	13.099032	75.23673	42.985416	104.9682	40.334183
TPM1	95.27546	65.80552	221.60448	163.76111	158.02808	625.4145	134.10902	155.522	91.17965	99.26477
TPM2	11.697138	12.762755	8.466498	10.607183	9.495955	12.204452	9.557841	8.944438	9.160542	10.110286
TPM3	11.0505495	11.840484	8.956068	8.751081	8.36361	10.283687	12.12627	11.573774	7.422735	10.677551
TPM4	52.074844	53.794018	26.226925	62.14491	62.628315	53.9015	54.187344	41.90425	42.71703	42.132362
TPMT	54.366158	51.266865	24.148914	19.284248	24.086243	28.87899	24.932276	28.020992	26.103085	25.085453
TPO	4.4939117	4.638828	3.987623	4.192546	4.1055303	4.317313	4.1292205	3.8695095	3.9498723	4.1499653
TPP1	327.93604	211.33128	148.74295	108.29033	272.32794	152.18123	119.64799	379.01123	428.02502	333.65363
TPP2	80.20825	86.61438	241.25516	112.27102	124.513275	71.585884	143.18985	234.26129	181.93431	116.51427
TPPP	6.492418	11.2695875	4.967432	5.210845	5.3272157	6.076452	5.125238	4.782422	4.920633	5.2792325
TPPP3	5.9214177	6.13396	5.050168	5.392123	5.3701506	8.69603	7.5631895	5.005376	5.1200085	5.464918
TPR	102.351814	159.90154	169.32053	105.15832	774.22174	186.68044	647.8181	593.70135	249.63075	338.401
TPRA1	34.705822	30.90175	28.032686	20.33556	37.652035	48.815372	24.653875	25.702854	28.84818	30.898884
TPRKB	45.51853	43.94948	65.63019	46.537243	57.452507	42.334198	36.54865	36.288418	37.375275	37.342335
TPSAB1	31.3975	32.34238	26.236656	28.284859	27.927525	29.330034	28.073042	25.577932	19.88765	28.073042
TPSAB1 /// TPSB2	8.449034	8.497392	7.1808496	7.428248	7.5079474	8.171426	7.5652995	7.1059384	7.2025375	7.5955486
TPSB2	9.307283	9.6092005	8.52464	8.604118	8.570648	8.87828	8.570648	7.5114317	8.40992	8.570648
TPSD1	17.354755	16.69754	7.286236	8.362057	8.258715	10.716266	8.258715	6.800769	7.809983	8.307914
TPSG1	7.8612466	6.5165625	4.4069777	4.7021074	4.631946	5.5551677	4.5985384	4.282201	4.4466205	4.6265755
TPST1	8.104214	7.870006	7.3225026	7.605069	7.404847	7.936381	7.5208488	10.066983	7.1539087	7.5072494
TPST2	377.2829	192.52588	499.04608	493.33646	407.12296	643.2054	364.548	450.72116	512.68286	469.94202
TPT1P8	61.31567	65.1538	48.84484	50.75209	66.896904	93.969315	50.15976	30.831566	35.285515	52.869762
TPTE	5.599161	5.8433566	4.6957846	5.099145	4.914244	5.418207	4.970198	4.6000323	4.7492514	5.0267897
TPX2	5.4166985	5.6111236	4.6606183	4.611144	4.759841	5.0626025	4.901036	4.6905575	4.439817	5.2460217
TRA /// TRAV16 /// TRAV16 /// YME1L1	5.609563	5.3542275	4.7806473	5.0146747	4.997022	5.178305	4.973889	4.8185062	4.827009	5.011418
TRA@ /// YME1L1	5.602279	6.1328216	4.4303503	5.1495523	5.2050467	5.4677076	5.2367797	5.171102	5.3121586	5.483717
TRA2A	666.33875	741.7973	671.64685	385.0198	1554.7582	748.1581	819.2371	1491.7211	1125.0344	1034.6472
TRA2B	357.214	164.40448	793.0378	605.62384	400.01663	351.00327	530.18616	564.52527	564.1327	418.77228
TRABD	4.8169413	4.837324	4.455708	4.6729617	4.5581746	4.7565284	4.6040893	4.415369	4.4501286	4.63259
TRAC	965.8677	1269.1709	1604.188	1655.8793	1057.5577	1066.2294	1372.3192	2420.7458	1588.4484	2214.1025
TRAC /// TRAJ17 /// TRAV20 /// TRDV2	1094.1459	1431.9048	384.27057	512.0293	500.65826	277.46182	226.41173	492.63876	781.22253	685.0236
TRADD	243.51562	334.1491	388.7359	314.7785	278.29327	251.83528	209.13647	331.81604	257.31613	264.62958
TRAF1	16.971704	23.70814	32.62878	22.790216	24.094067	23.663076	22.474127	27.452148	22.069036	24.459038
TRAF2	32.264454	34.30875	27.786642	29.481497	29.270222	31.355293	29.270222	27.184698	27.39744	28.88301
TRAF3	30.80513	16.193937	58.527466	45.678288	48.94583	22.973377	35.664932	49.184868	52.063984	46.551277
TRAF3IP1	7.968853	8.724322	6.003308	7.0213804	6.519587	8.059591	6.5310946	6.015578	6.0829415	6.6017804
TRAF3IP2	85.60153	67.35012	93.14672	109.94589	108.597336	114.75165	102.41118	109.833755	95.96998	101.07047
TRAF3IP3	492.87842	398.53445	1471.2366	1067.8882	676.997	487.6917	479.20145	1029.2605	887.2586	819.04767
TRAF4	49.106174	49.426216	42.142124	46.231617	56.033432	52.46044	51.869846	41.244507	42.693226	41.206264
TRAF5	13.176758	20.512285	184.47589	141.54486	63.379616	89.014145	118.57573	215.52017	170.51505	110.436646
TRAF6	10.99952	9.912055	23.02032	15.570914	18.968542	11.953371	23.875391	31.350554	20.992058	22.394495
TRAFD1	175.76828	131.9223	169.82468	141.676	181.96432	137.26797	328.64624	145.80293	342.66226	159.77913
TRAIP	5.1157346	5.3686566	4.3672814	4.5715194	4.5358105	4.5832005	4.508323	4.1927404	4.25546	4.51251
TRAK1	171.00627	166.72057	149.64981	181.66428	138.20903	135.6297	167.55812	165.39522	222.39778	158.34367
TRAK2	1223.8868	750.94086	642.49664	272.77048	548.44	2046.8275	215.59264	244.84692	240.17162	311.00043
TRAM1	774.15015	604.4591	1468.9185	1363.1808	913.5364	955.3049	856.3175	1170.8107	1154.4377	912.626
TRAM2	17.272005	19.089281	31.03107	16.457542	20.833166	18.727823	19.486637	54.548084	20.652224	25.016876
TRANK1	67.60682	59.44707	123.89083	100.14612	90.7196	67.98434	377.6067	152.67635	274.96896	130.22424
TRAP1	99.49541	111.469	104.59383	95.63873	92.294876	95.11209	90.850204	99.80517	85.00187	92.99986
TRAPPC10	164.6641	163.96269	439.6498	366.30322	329.17102	248.63655	192.48135	409.9953	437.43195	474.7423
TRAPPC11	72.23818	41.169006	114.11448	87.89575	61.03464	40.460705	84.09758	104.426476	92.10442	68.34643
TRAPPC12	73.21349	62.029655	118.6776	98.83968	113.443954	118.6776	145.41273	152.6126	132.44867	115.09826
TRAPPC13	25.812214	20.353973	33.22076	19.074677	16.852823	17.726282	19.620472	16.37604	21.196384	21.822115
TRAPPC2	83.39818	92.070305	240.33339	195.95078	136.68811	190.08945	188.12387	239.94887	271.80408	268.1711
