"Entrez"	"Symbol"	"SRR2016907"	"SRR2016908"	"SRR2016914"	"SRR2016915"	"SRR2016916"	"SRR2016917"
"100128098"	"ST8SIA6-AS1"	0	10	3	11	8	7
"100128108"	"LOC100128108"	0	16	9	18	29	14
"100128124"	"HGC6.3"	0	0	0	0	0	0
"100128126"	"STAU2-AS1"	1	51	17	9	7	7
"100128127"	"ADGRA1-AS1"	0	0	0	0	0	0
"100128139"	"LINC01233"	0	0	0	0	0	0
"100128164"	"LOC100128164"	0	0	27	76	76	43
"100128176"	"UST-AS1"	0	0	0	0	0	0
"100128191"	"TMPO-AS1"	0	3	0	6	2	6
"100128233"	"LINC02324"	4	6	5	1	4	16
"100128239"	"LOC100128239"	5	23	18	6	15	11
"100128242"	NA	0	8	18	22	18	13
"100128252"	"ZNF667-AS1"	0	0	13	0	23	18
"100128253"	"LOC100128253"	0	0	0	0	19	0
"100128260"	"WASIR1"	31	96	9	12	3	40
"100128262"	"TNK2-AS1"	0	2	39	50	25	22
"100128264"	"HTR5A-AS1"	0	0	0	0	0	0
"100128285"	"DNM1P35"	15	3	7	0	3	16
"100128292"	"DLG5-AS1"	0	10	0	0	13	7
"100128310"	"LOC100128310"	0	0	0	1	0	0
"100128317"	"LOC100128317"	21	0	0	0	2	0
"100128325"	"LOC100128325"	0	0	0	0	0	0
"100128327"	"TRAPPC3L"	0	0	0	0	0	0
"100128338"	"FAM83H-AS1"	524	249	11	13	97	21
"100128340"	"LOC100128340"	18	6	8	1	13	11
"100128385"	"FAM225B"	83	33	62	50	256	110
"100128386"	"LOC100128386"	0	14	0	0	0	0
"100128398"	"LOC100128398"	219	58	46	28	23	37
"100128420"	"LINC00892"	0	0	15	0	5	0
"100128494"	"LOC100128494"	120	30	57	8	22	48
"100128496"	"C20orf78"	0	0	0	0	0	0
"100128505"	"ASTN2-AS1"	0	0	0	0	0	0
"100128511"	"NEBL-AS1"	0	0	2	0	0	1
"100128531"	"LOC100128531"	1	0	0	1	0	2
"100128537"	"MIR29B2CHG"	2623	5114	8748	4381	4047	8926
"100128553"	"CTAGE4"	1996	1253	609	451	1482	410
"100128554"	"LINC02347"	0	0	0	0	0	0
"100128560"	"MYHAS"	0	0	5	4	1	5
"100128568"	"LOC100128568"	0	43	7	13	35	36
"100128569"	"C19orf71"	49	154	96	130	187	65
"100128590"	"SLC8A1-AS1"	61	6	29	18	32	24
"100128594"	"TMSB15B-AS1"	0	0	0	0	0	0
"100128627"	"CDC42P3"	159	144	224	294	94	198
"100128640"	"ACVR2B-AS1"	33	0	4	0	0	4
"100128675"	"HPN-AS1"	0	2	5	0	7	0
"100128682"	"LINC01531"	17	0	33	35	78	147
"100128688"	"GPR50-AS1"	0	0	0	0	0	0
"100128714"	"LINC02346"	0	0	0	0	0	0
"100128731"	"OST4"	676	877	450	404	1062	679
"100128750"	"RBPMS-AS1"	79	0	3	0	56	4
"100128770"	"LOC100128770"	197	204	202	205	95	153
"100128782"	"LINC00476"	4	37	35	25	31	30
"100128787"	"LINC01349"	0	0	0	0	0	0
"100128788"	"SRRM2-AS1"	47	44	14	2	28	17
"100128811"	"GPR158-AS1"	0	0	0	0	0	0
"100128822"	"LINC01003"	44	270	97	192	100	123
"100128881"	"VPS9D1-AS1"	106	98	199	480	546	380
"100128882"	"LOC100128882"	0	0	1	3	0	0
"100128890"	"FAM66B"	61	56	6	9	21	14
"100128893"	"GATA6-AS1"	15	0	0	15	37	3
"100128905"	"LINC01960"	0	25	12	7	40	15
"100128908"	"LMLN2"	0	0	0	0	0	0
"100128927"	"ZBTB42"	164	365	23	12	74	30
"100128946"	"LINC01310"	0	0	0	0	0	0
"100128966"	"LOC100128966"	0	7	5	0	23	0
"100128977"	"MAPT-AS1"	0	0	9	0	2	4
"100128993"	"LOC100128993"	0	0	0	0	17	0
"100129027"	"LOC100129027"	0	4	0	9	6	2
"100129029"	"PKP4-AS1"	0	34	9	0	0	3
"100129046"	"LOC100129046"	0	24	0	0	8	18
"100129055"	"LOC100129055"	0	0	0	0	0	0
"100129060"	"SEMA3F-AS1"	12	52	178	92	198	250
"100129066"	"UNQ6494"	0	0	4	0	0	8
"100129075"	"KTN1-AS1"	0	3	1	2	8	1
"100129083"	"LOC100129083"	0	9	33	4	11	30
"100129094"	"BTNL10"	0	0	0	0	0	0
"100129128"	"KHDC1L"	0	0	0	0	0	0
"100129129"	"LOC100129129"	0	0	0	0	0	2
"100129138"	"LOC100129138"	84	9	6	0	9	5
"100129175"	"LOC100129175"	12	0	0	0	0	0
"100129195"	"ZSCAN16-AS1"	81	6	43	29	89	32
"100129196"	"MATN1-AS1"	53	77	45	25	54	37
"100129203"	"LOC100129203"	0	0	9	10	64	24
"100129213"	"SLC39A12-AS1"	0	0	0	0	0	0
"100129216"	"DEFB131B"	0	0	0	0	0	0
"100129239"	"CXorf51A"	0	0	0	0	0	0
"100129250"	"SMIM27"	156	165	207	388	164	405
"100129269"	"LINC01160"	30	39	47	30	85	23
"100129271"	"C1orf68"	0	0	0	0	0	0
"100129278"	"TDRD15"	0	0	0	0	0	0
"100129291"	"LOC100129291"	0	36	0	0	0	0
"100129297"	"CD200R1L-AS1"	0	0	0	0	0	0
"100129307"	"LOC100129307"	15	0	2	0	1	0
"100129345"	"LINC02291"	0	0	0	0	0	0
"100129347"	"LINC00484"	0	0	0	0	0	0
"100129354"	"NRADDP"	126	81	24	47	78	37
"100129361"	"SMIM10L1"	210	242	45	85	188	102
"100129385"	"C9orf92"	0	0	0	0	0	0
"100129387"	"GABPB1-AS1"	20	18	70	74	51	57
"100129396"	"FAM106C"	0	0	15	0	0	15
"100129405"	"MSTO2P"	798	305	186	166	174	294
"100129407"	"FAM236A"	0	0	0	0	7	0
"100129424"	"RPL19P12"	1021	380	239	172	1201	494
"100129427"	"DDC-AS1"	0	0	0	0	0	0
"100129434"	"LOC100129434"	50	111	114	80	84	93
"100129460"	"DPY19L1P1"	258	31	37	42	61	26
"100129461"	"LYRM4-AS1"	0	82	2	0	0	1
"100129464"	"LINC01546"	0	0	0	0	0	0
"100129480"	"MKRN2OS"	3	19	12	0	6	16
"100129482"	"ZNF37BP"	760	352	325	256	481	208
"100129484"	"LOC100129484"	12	7	13	25	3	17
"100129515"	"ETDB"	0	0	0	0	0	0
"100129516"	"LINC02012"	0	22	5	7	10	3
"100129518"	"SOD2-OT1"	0	0	2	1	8	16
"100129534"	"LOC100129534"	29	90	12	20	14	9
"100129540"	"LOC100129540"	3	2	5	1	13	1
"100129543"	"ZNF730"	72	83	17	0	12	18
"100129550"	"LINC02035"	767	1377	1991	1353	2519	833
"100129583"	"FAM47E"	14	20	7	2	23	6
"100129597"	"LINC00462"	0	0	0	0	0	0
"100129603"	"LOC100129603"	0	0	0	0	0	0
"100129620"	"LOC100129620"	0	0	0	0	0	0
"100129636"	"LOC100129636"	0	0	0	0	0	0
"100129654"	"TCF24"	0	1	1	0	2	0
"100129662"	"FGF13-AS1"	0	0	1	0	0	0
"100129669"	"IZUMO3"	0	0	0	0	0	0
"100129697"	"LOC100129697"	0	0	11	19	57	22
"100129716"	"ARRDC3-AS1"	8	4	14	18	47	26
"100129722"	"STPG3-AS1"	36	0	0	0	0	3
"100129724"	"LOC100129724"	24	3	5	5	13	9
"100129726"	"LINC01126"	1	69	34	38	38	34
"100129781"	"MIR193BHG"	35	22	28	50	79	27
"100129792"	"CCDC152"	0	5	6	6	16	0
