Gene	GSM1571528	GSM1571529	GSM1571530	GSM1571531	GSM1571532	GSM1571533	GSM1571534	GSM1571535	GSM1571536	GSM1571537	GSM1571538	GSM1571539	GSM1571540	GSM1571541	GSM1571542	GSM1571543	GSM1571544	GSM1571545	GSM1571546	GSM1571547	GSM1571548	GSM1571549	GSM1571550
ARID1B	21.2545857037477	17.0007378488276	26.8501444757709	33.221403941864	40.7910945368876	52.6670762826526	39.0840253719162	32.6075125092328	75.1669522080423	33.2260155523214	54.9532615311654	78.1624625074645	71.8620584478807	78.9315227549506	49.2980307837327	80.1432977979101	76.3731285288998	54.7960388924196	53.5806723630107	55.2891306406592	62.8861011421003	82.4920416400291	54.6250858547709
ARID2	53.2919259729284	25.2031066019305	66.1022111383623	61.8566946890363	32.3336747902507	69.0921893174345	59.0512814401544	60.3808139166672	85.2582384219219	70.8418993130709	61.8566946890363	128.822276249279	120.825128677807	73.7113313995239	62.7546802806179	90.8687865306119	69.480828887498	60.3230439542124	55.5322451241506	53.129825046749	58.9969608598529	76.469200372943	65.4024592700916
ARID3A	131.061055917486	116.80934124881	119.911890275183	114.853937995104	125.615095942211	156.956310709702	119.911890275183	115.951722370196	212.338606716799	172.337161633744	143.905187687594	120.253939666281	127.801031650587	136.245817196145	138.978554640618	158.202823051725	179.390922258553	145.370058357592	136.857881296545	112.717168193873	125.155096529003	136.517276021852	146.810318732122
ARID3B	87.2310575344857	82.0515386135374	44.5941026392445	66.4631746645917	106.043259974164	71.9083259220381	71.9014926145902	52.8520548670504	86.9685890268349	96.4653387970297	86.6962151050275	78.1329434075164	60.492989130597	69.9485572140835	104.514705541065	84.8983831220477	126.509133868563	86.9709713450972	65.9310200482983	91.1147219748784	61.7105400053709	76.1711638350584	88.5842121859938
ARID4A	44.1183873115784	30.015869219928	22.9680687667081	30.0120575354217	49.2687391295091	36.1914014858074	37.3570223417667	26.2432221825493	78.4880630722301	41.6469345537798	42.8689290458911	68.3912931431874	50.2532480216272	50.2532480216272	40.2013799778839	61.8685332280908	65.3859252752132	67.7103266479479	55.8997589188492	52.1955200049366	70.5449580550341	61.1306993133448	57.3508238210678
ARID4B	573.216630776536	914.881256970292	439.39003689282	635.539748429166	833.927268869502	728.299407381576	681.142646853034	480.886861471537	1033.70128062425	619.042376424137	1057.71106878675	1259.39254754172	1361.98725703914	1077.32120465609	598.224092668909	1432.88223733948	1285.62903377241	1384.09435418217	1323.67222229596	1235.78988094386	1840.84299560226	1316.7780073171	1229.52219246941
ARID5A	70.7094918802541	79.7170509479051	53.5436525669122	117.047617214548	47.48883700119	107.923287692397	84.5390812801538	44.8429490346909	139.727497030499	81.615948817446	70.9171202293761	62.4628330813107	54.8664640467104	61.7932809461564	88.0833573485046	53.0648557252202	32.6542653500711	46.3343768522116	85.1584237388559	54.158334645857	23.072950432219	33.402240834934	32.8708495188367
ARIH1	648.642591655195	633.784111654587	575.087621707171	618.162020335252	800.660571909847	712.893675603106	540.088695279697	594.558852415206	688.560712705566	701.872402426917	722.957816838963	715.258608998775	815.561795198244	696.505267309616	447.567642718439	851.883296392227	871.586240520728	786.403971840685	735.107907776995	866.802352690263	922.939769949049	864.413052737911	868.756084063262
ARIH2	56.4232738971377	56.7494921224098	81.4997992164194	59.3992981737333	60.2164387794376	48.2189348087577	60.2810728349879	43.5956140978316	54.3745657112175	44.0063690112298	57.6216708228473	75.9939493281948	60.2810728349879	78.0965401998472	63.6362360194929	88.4765842821671	107.208510787576	91.4650393611057	63.3363545738244	50.773926000142	66.4976319250421	92.2176318061984	84.5659785360873
ARL11	25.2872672180117	25.529170924749	24.3410775548338	27.4797860564141	17.6917457468313	25.4674590057748	17.3165793415223	25.1357019015451	25.4419818451979	13.949456348963	26.2994940301952	45.3797634306389	39.409371186677	31.251442934792	51.8670533819521	25.165062974331	27.5315131220524	25.4559686687762	25.165062974331	39.2117773994684	28.2854532108198	28.3130564441423	25.3203892964154
ARL15	18.108144636817	18.7039524734366	11.6406586354986	18.7693779836631	19.3874514854707	22.2793408801568	17.9762778290808	18.6969079206438	18.7693779836631	18.7923352388585	22.8998156951941	27.5438612411194	39.7533806471195	22.7255260788612	19.7993509028381	19.1193871763157	24.9785249452717	18.6969079206438	18.0975258391001	19.9406031920713	18.825880666383	23.5152940408627	18.825880666383
ARL17A	9.26909556318383	12.0602340297253	12.0567430656734	7.50347830523727	12.878557882355	10.4531788154668	7.66789975873132	10.9393960888463	12.2175510697884	8.57190279494638	10.7783469189149	7.92299269466053	10.8185976930711	13.5639491890905	7.66789975873132	11.2989959293803	12.308690883263	11.1589349617753	10.7602969042828	17.0351147916534	10.7316487608541	10.6433873354652	12.2768827563115
ARL3	436.441616533046	425.157812734611	668.169886209724	483.680198524096	286.203779568267	363.890228005588	388.227783254517	363.890228005588	556.076152956678	528.898919558117	340.448572084617	382.777356408102	314.87981195655	467.176196869911	363.890228005588	288.619124554455	363.890228005588	363.890228005588	365.353503327436	324.229968554447	187.118436118204	304.829103243662	342.481070051268
ARL4A	54.18954922414	68.5966167520661	382.572105501521	271.764301247581	110.478696214899	132.61880765503	148.653631145508	81.1117570292525	60.2354871475545	49.5307471342929	54.8769554304131	81.0778743222414	89.8745729927317	72.6145919118351	57.1050738402413	44.7483214039793	56.1114478422974	34.7624210279739	65.9636278133512	33.5551236425699	38.1167533310748	37.6677002999776	31.7292649805938
ARL5A	9.87809121002264	9.17584709060642	9.92857626200867	10.776176877247	10.4419505317351	8.91765574944751	9.86899513241265	8.0133232231005	7.17434204460818	7.50420635260654	15.0812930337948	11.825364392172	30.6061174974599	24.8957767123618	16.6997042634737	18.4430354321588	33.2967039853587	24.191145242265	11.7583202359716	22.7885793333473	16.2269453676256	31.9851946747633	23.2551748328561
ARL5B	37.7571966732261	46.3006879646645	30.1297825757641	21.7433382965125	133.148335761358	42.9765102307563	49.4934195917412	37.7571966732261	16.859799634853	10.8770302051375	33.7959452743113	35.7256365748021	62.9135840246338	57.8079425897052	31.4997264958823	33.1619760421632	28.8277385291892	41.5464906952416	37.7571966732261	37.7571966732261	111.802404508606	40.2165291373256	37.7571966732261
ARL6IP1	1313.01568034275	865.881089138415	1385.57043859633	1231.12817848492	699.896705067884	2027.90623196765	2028.7041444017	1736.28248350391	592.312476816501	692.631433872559	863.152206192722	1882.80951023665	1719.37384492302	1454.35882993608	1217.14941825077	839.16172183787	769.625139119218	1348.89339577274	878.453784656752	705.538336617731	737.19968587353	918.802452252689	816.511514677073
ARL6IP4	136.469321079495	145.15011160311	309.089609183164	301.123508830056	143.953535129503	160.514509215645	234.593687126167	104.643119476412	103.60477534904	139.046438007512	153.327104958796	105.053291018926	102.602576902076	72.9206685390559	136.333284172982	100.806551738487	77.0330394529269	84.6035029343018	121.905453682199	109.798519556747	53.2470639120722	77.6445178220366	83.9247197369968
ARL6IP5	2341.82187568848	1869.99528866428	5175.05105356158	4351.84458498053	1255.43454763604	3944.47864049141	2785.92727039706	4900.63967653992	3920.35792032809	3404.95786445179	2654.54681610682	2295.23498777921	1992.86612223559	2693.65931543328	3273.10309672576	1999.19458010258	1972.96999454689	1529.93812275659	1247.68334720674	2166.77714015379	2683.6885929986	1980.64212069873	1926.66625712426
ARL6IP6	181.06077870113	134.874728745305	162.082940437111	216.5832473496	146.518338698887	225.718245266053	181.327161833335	153.650148708308	199.323986880649	146.539604821138	141.426365663277	224.376520306073	482.409685576052	323.469038926666	369.251454852153	206.199452521802	167.054508301863	177.881068424072	151.339703128921	156.627608892527	200.179091249399	183.606273666244	172.367123914843
ARL8A	53.5767796381172	33.7891962702003	40.2047036302549	53.7721898182879	32.1325112510748	32.0451978921207	31.559294138652	43.1918370219588	46.2163523910484	33.5000495185853	32.4166966350664	39.169614513253	36.6758343124008	41.4155706488878	43.9578510061513	31.7763276551514	32.1325112510748	36.5963404901183	36.3685876584981	32.0451978921207	32.186754361997	31.8528797013126	27.5882017860862
ARL8B	714.861119707319	749.369861687414	1211.33696599698	1168.89944378156	555.207023792709	956.610065970939	996.133715155921	1172.37320103536	661.003188182102	736.503302942858	801.067345243463	897.714503976185	1101.41927052564	859.40458749379	1051.55340761496	636.000008250635	551.556001447501	594.433441606906	567.574348459936	522.873529030423	776.715099880926	632.259262904793	615.111714757863
ARMC10	359.180957423115	298.560112148823	373.60110917243	374.551027113098	320.268882798283	119.08961295422	206.540125120812	650.445421911203	367.581962219849	278.042566342921	503.256852418294	575.998346919285	362.395143107571	373.450980030781	1232.86193518356	718.852416336247	561.88699267708	414.987595524862	374.281221061136	261.197188731778	150.221837909916	497.901272389954	449.103756725935
ARMC7	38.6562589231929	49.8321747281147	27.5375384077177	23.6762562619797	37.6851219195138	45.1957733540584	29.0431517833129	41.7756275968683	64.5001662503179	49.5354748210991	54.1209061295593	49.5069688367433	42.5689173031034	28.8703978953992	49.1408455919197	49.900732530006	78.6716556816385	47.2092639948481	17.8682439564844	41.8343560222734	39.0130322316903	42.8775374810247	48.242797351156
ARMC8	79.6321158571256	61.9980505763927	109.498886740358	149.510910070552	97.8651120653881	113.205057295859	111.631129071003	126.88983535815	96.6107010230056	96.6107010230056	96.6107010230056	163.544323589699	132.939512379042	91.1374368719687	96.6107010230056	88.8903964917137	96.6107010230056	89.7951693343243	37.9858717925495	100.252882233286	96.6107010230056	92.9835686163962	96.6107010230056
ARMCX3	33.1207665505789	34.1232679128997	55.907511481973	41.2165738802013	41.2165738802013	37.0823875042472	32.200218635917	70.9061785542687	41.2165738802013	30.4231861082333	47.4343126586259	64.3389320923953	63.2129969037765	48.2481825588725	59.4309728872076	41.2165738802013	55.1995923270102	23.5284641044125	23.594092123458	37.5628716781259	41.2165738802013	41.2165738802013	41.2165738802013
ARMCX6	125.363213194219	196.076027854859	606.503733477857	260.790183075787	232.114547424924	147.677760408759	184.126801186086	899.843546925745	118.344370237189	78.0637866309048	207.355293997225	265.718964652997	467.812525958616	207.206620733792	131.377375564816	121.459784552516	123.472542370442	50.3994775690323	10.0420011623774	75.8250905711227	150.700740947554	75.0169944197924	71.380735661439
ARMT1	791.669156099847	665.944064494444	745.088009510103	810.591849536164	413.193554148877	577.844849909212	595.963037426277	827.685628957226	852.014010460425	724.43070600571	790.930085142601	1015.98373240362	1444.92211046418	874.899263871312	1151.26480992871	753.00048557543	788.063443432045	710.715376268602	445.253977221082	841.499345947162	1003.66423593077	972.690406120684	861.845382660651
ARNT	548.444291734417	367.73448139875	328.443174397284	271.798334783052	149.610762872299	320.670939809563	388.581801132826	337.042004267213	342.529209911164	593.846231225336	347.042742062619	337.589500100318	528.945410388733	513.88613979363	526.603046335238	291.167588346773	340.010421220814	283.709722064908	84.8615168454781	111.432678419148	77.6207226723816	267.466358541726	241.612421244949
ARNTL	32.4080911789839	53.3139610721462	73.2258471179771	63.1596255540746	37.3829310887807	74.9994318729437	39.9541074839959	103.591318543392	64.430294768973	42.665973206345	92.4208409671029	115.261093919429	118.526375382572	97.0236910109765	149.550864089549	94.3154067306878	113.572648519423	93.5679139167719	67.5983479732728	110.962228263357	86.7092844460996	89.4383004786746	93.2224187220372
ARPC1A	83.8144553696091	92.9865441871002	96.7046432563578	87.8966625536518	51.9922760892994	63.9281640663235	64.8065095896163	72.7752176533877	56.7390367777982	62.7407312963845	62.7407312963845	65.6550804325711	53.0453044916292	68.2703657099853	97.8253433749624	71.6609830224008	82.4523604110303	67.4210541785224	62.0496080856479	78.9479360044916	70.0846841306616	68.2703657099853	66.6482999164161
ARPC1B	2059.42209956059	2021.21223104913	3568.64550104275	3556.89191536021	1483.24756599139	2087.79860961807	1783.9003473373	2343.28362578821	1847.94026910625	2148.12513213142	1756.62131569857	1787.11139681448	1443.21566719877	1276.46472128695	2294.81352398582	1428.04424139083	1664.19057729381	1480.81056697003	1311.99316615572	1625.98080398855	1195.32304110782	1443.47780555795	1470.52593166634
ARPC2	16313.5522460189	18138.1860163713	17152.9678939944	17207.0818388264	15274.7784027726	18148.1622181279	16323.4966599753	17637.2214789669	17363.788204141	16691.8393480987	18098.8026922216	17580.6920293485	17289.810064106	17127.93066177	16335.5492176044	17435.7966185086	18783.2106990446	17707.1493154947	15349.0598405091	17643.8080518107	15666.2183399232	16249.8959502969	15923.2851489329
ARPC3	3683.90039717762	4515.90978459956	4177.27897445566	4680.90821147951	3996.0961752881	4023.37902768043	4029.10553672196	3849.16921460411	4489.61497246598	3435.72992837204	4162.84636593567	4629.74837380858	4562.70539675787	4037.67557432998	4080.3878082258	4221.1258863638	4457.711981839	4695.41428570889	4426.15623155019	5408.45229419424	4366.50252770681	4376.87522138636	3977.60083769175
ARPC4	2514.43549875897	3145.28091677821	3423.50676992674	2994.17251064422	2370.99310164998	2362.28839740267	2768.81003490763	3132.81117295961	2673.88983150916	3566.78317104575	2983.3746162995	2486.29646897854	2115.54988538994	2129.90647910665	904.540371180468	2599.23726975224	2411.72891817516	2419.78467603885	1874.08154039667	3636.5447894416	1882.23350391595	2544.88531937207	2658.73856876451
ARPC5	5589.33201293256	6433.28206860135	7967.65629990417	8445.82804979465	6237.19989059878	8018.94934714037	6167.4307662012	8599.65966280399	7313.24049340742	6661.70960237249	6618.54968380237	6617.51429104472	6253.86616474327	8034.93105866464	17801.7682402976	4608.40670818822	5378.03500411841	5810.45102884608	6530.85521675765	7605.8668093489	6264.51615158129	6058.66138034749	6343.13916887213
ARPC5L	145.863010965585	111.375234568528	350.319681979802	314.85730358971	97.2342514002272	85.9594342230149	95.7210107008261	119.220758263381	89.5655166256134	100.097808741026	76.1209089690794	70.8333557070695	85.9594342230149	84.4949670156279	87.3216344963667	73.2109107609878	107.822402203904	73.0878144957613	74.3440037179605	83.8253107992942	51.3215343167491	71.2943241513233	79.8403117599441
ARPP19	124.729679507052	122.249449382684	246.174891661547	165.686780967104	268.263216381818	330.922493779026	248.836125353559	251.18370807872	312.348961066209	292.998041503439	299.262496756649	348.9763384846	316.878288725957	327.431767736457	597.74917394857	398.860995120763	335.72601364487	372.513433125979	338.055760316063	354.829969779618	259.894155027613	412.300902508499	404.861066341659
ARRB1	272.935884399122	284.333292222002	186.453183802564	179.835264340906	956.605893270649	338.740769234908	433.820570266243	240.067560979767	491.822264796799	351.22719604517	479.52536735575	415.059889934642	386.662574795418	433.820570266243	1178.0429469953	1731.29114187921	1786.44972717725	1268.99717309639	1699.64040434639	1299.21224528915	301.785447369852	1623.14476349217	1546.80665363009
ARRB2	821.428212348348	1065.34852137463	998.641873113233	1004.88063057781	703.092691098475	791.787791753672	721.717896693391	992.509830125034	959.449040538019	848.093123460496	819.474004842591	959.045522316529	683.17503696437	619.259866714855	761.563979840282	756.642002043685	775.238218628121	877.21948949062	785.015687272074	982.721341086835	1027.12848753941	762.739164633971	801.606979642948
ARRDC1	11.2187460043868	13.7072836803084	11.2459033650944	11.2930062018219	11.2187460043868	12.9563642764941	11.5165691037285	11.2187460043868	11.2417797673487	11.2187460043868	11.6039351509483	9.65718156533199	11.1284959335744	11.2187460043868	11.2187460043868	11.2187460043868	11.2187460043868	12.1047417482392	11.2187460043868	11.7256219172146	11.1284959335744	11.2187460043868	11.2187460043868
ARRDC3	101.499092137354	87.9600703536226	39.5738370054239	41.957573734261	73.139312323317	92.8942125364086	72.3191722524232	119.656202736983	177.316073917811	111.606216752978	180.974317714342	164.513846618785	243.684782165116	319.129133512215	104.257536080763	356.699159964422	284.802521491993	307.636325577211	302.280579612312	357.158894083825	300.966189562222	382.700674103181	329.092913637926
ARSB	11.3737330850146	8.91782852318234	9.83977729347524	16.2563217765251	18.1949187540381	18.072661643108	20.1393309756292	27.7808634510844	9.66843502703023	9.75581003994027	41.8139719851118	54.8933301438479	43.0278880588697	29.8419135865166	36.8565771555187	30.3710603641135	28.2958615885709	24.1306709845112	30.2149681256699	48.1053566341494	24.3861178103254	31.1208725656853	24.7966735788384
ARSD	220.863535709386	162.217357037003	287.373556706044	274.044200966899	114.098598773115	58.4279211753115	91.302386667288	288.725365388757	54.6377247736192	141.062540069849	118.132166663279	75.2780881992788	116.901106645822	141.313597856248	302.571092393672	98.4325967022502	102.148794279948	60.4810017467396	89.5283243297459	53.7731544273806	49.0044651348073	44.9626125315015	49.0044651348073
ARSG	25.3058169562869	25.3058169562869	24.8176102789671	41.0443019493173	41.0948071642854	58.6585402837362	34.5413475445034	24.5751651553905	81.2272936490316	90.5658636007454	39.1095875671907	30.6544347857098	28.8406348316808	40.9915236028993	59.7190573513067	66.0750717336263	85.5062415723069	54.4024959967004	79.3161075657491	34.2644942117723	32.8928374432472	68.9790909468666	79.0869259002099
ARV1	14.2802427613699	7.8502884054827	25.801401731378	19.2540264736468	11.528852544615	11.1411333689846	13.0949460063019	28.4202071881714	20.1093754987189	10.2631821722574	10.7962046170014	9.12302141110458	22.2191212621887	13.7940128046792	11.528852544615	10.6575019562147	10.8478011664477	6.47575628116733	10.2631821722574	10.8221532564917	11.528852544615	10.6355958781314	10.8221532564917
ASAH1	3912.04041661364	3708.3252239028	5634.03042786794	4504.31341545456	4208.59903121642	4651.8712741649	4894.63145581572	6626.90958208013	7090.75886474667	5406.02332033108	5740.47108702563	7662.8278514694	5681.42325647921	4652.07841625351	5771.73245169207	5222.3957390845	4680.28915824342	5622.03231148534	4330.23420106034	3890.4192502689	3472.40030813643	5776.67850543715	5374.10412885356
ASAP1	1124.78830201862	1436.62760783868	941.352591193783	935.005492098761	1368.83022883771	1359.3023636421	1151.70363969941	641.585097245201	1481.99553939857	1417.71227333984	1870.05396774233	1663.28456547826	1263.8622363989	1286.15839382642	1413.38430658348	1720.63393356117	1157.13972859024	1544.06972928217	1171.85706076429	802.789209520188	1420.35830494652	1188.79018962471	1194.90689910819
ASB16-AS1	8.00439873420067	7.39259673144305	7.97196204812872	7.5953417563445	7.95860644811463	7.95860644811463	8.00044062084311	8.37939255604294	8.00044062084311	6.49369801664533	10.7368678216492	8.00439873420067	9.67468770904265	8.00439873420067	12.3459090471259	12.7889372470269	13.7060701027179	7.7092274801527	7.95860644811463	8.00439873420067	7.45882565429894	8.128363861706	8.00439873420067
ASB3	7.15748400895279	7.15885831604969	11.3785213336106	7.47874769898095	9.6767691412898	8.26167100753977	7.86103550576729	7.15748400895279	7.47874769898095	7.47874769898095	7.77472536353352	8.90510019634305	11.5252209682752	10.7495527453093	9.56965905027688	7.45642161049263	7.47874769898095	7.45782585679049	7.47874769898095	7.15885831604969	7.37000378886758	8.3765545346343	7.47874769898095
ASB7	135.08884374516	169.729005474483	169.729005474483	212.146257521306	128.443963406172	190.603793551932	169.479391413535	171.083075837527	188.106156477562	213.227904289448	178.856654910363	167.263129848768	235.670144271944	169.729005474483	226.509281738004	166.834055262477	152.669367083346	200.9321274836	217.692207864945	118.733068617291	190.474429773866	160.840442596347	154.252950413143
