Gene	GSM737030	GSM737031	GSM737021	GSM737032	GSM737022	GSM737023	GSM737024	GSM737013	GSM737014	GSM737015	GSM737016	GSM737025	GSM737026	GSM737027	GSM737028	GSM737029	GSM737017	GSM737018	GSM737019	GSM737020
ABL1	8.95666	8.81041	8.8134	8.88976	8.57342	9.36017	8.91087	8.76851	8.85376	9.31721	9.18823	8.82389	9.22942	8.58237	8.91772	9.29043	9.03972	9.00125	9.1457	9.15616
ABL2	7.37201	7.35851	7.31824	7.15534	6.90348	7.36403	7.40797	7.21462	7.49557	7.64266	7.46982	7.38062	7.29831	7.27043	7.36536	7.5147	7.51167	7.30786	7.40016	7.6832
ABLIM1	8.41506	8.7981	8.42488	8.77257	8.76846	9.18327	9.0838	8.93251	9.26919	9.14318	8.96349	8.70907	8.88778	8.40459	8.89451	9.09016	9.02407	8.81494	9.09366	8.76064
ABLIM2	6.25567	6.6055	6.26859	6.44952	6.10365	6.22097	6.15555	6.26391	6.16917	6.62558	6.32023	6.15488	6.31631	6.25482	6.12892	6.10561	6.43892	6.54063	6.15421	6.49922
ABLIM3	8.99059	8.82406	8.58801	8.62262	9.27528	8.78405	9.81065	9.69549	9.76791	9.99291	9.54464	9.20225	9.23951	9.35744	8.90006	9.14862	9.87653	9.58508	9.2886	8.54218
ABO	6.10108	6.22607	6.25777	6.43209	6.21658	6.15375	6.15676	6.24816	6.06016	6.29453	6.19378	6.00911	6.33926	6.34242	6.00202	5.95363	6.30106	6.26179	6.16875	6.22446
ABR	7.90845	7.72598	7.83734	7.91701	7.99576	7.90057	7.64649	7.53967	7.60143	7.50196	8.07592	7.69905	7.45666	7.75134	7.41647	7.79165	7.64973	7.42772	7.4432	7.78841
ABRA	4.82397	4.67509	4.78939	5.1544	5.0154	5.24222	5.14581	5.1262	4.93841	5.13707	4.53756	5.37159	5.20127	4.8315	5.17632	4.56884	5.42026	5.07715	5.18398	5.27954
ABRACL	5.96479	6.41629	6.21482	6.49268	6.22971	5.81352	5.7316	5.48283	5.84189	5.95678	5.8021	6.47354	5.95597	5.32341	5.65199	6.24284	6.11043	6.01999	5.72359	5.93525
ABT1	6.16231	6.17206	5.94938	6.32388	6.15426	6.00503	6.00325	6.18665	5.97283	6.1014	6.13694	6.10364	6.37494	6.00975	5.87641	6.02817	6.12102	6.10825	6.00993	6.00143
ABTB1	7.75056	7.47914	7.45421	7.81685	7.954	7.69052	7.72192	7.8242	7.76305	7.68233	7.81196	7.41068	7.69168	7.79447	7.60658	7.50056	8.02122	7.81369	7.76223	7.19125
ABTB2	6.18421	5.47536	5.61612	5.84967	6.00924	6.29959	5.64759	5.85539	5.83444	5.78927	5.65093	5.81662	6.0212	5.43956	5.85978	5.73007	6.09352	5.8687	5.87398	5.85378
ACAA1	7.75588	7.43663	7.50524	7.45825	8.27967	7.42998	7.7292	7.91392	7.64003	7.4444	7.78578	7.84511	7.81074	7.62894	7.46396	7.4387	7.2844	7.588	7.71986	7.27684
