"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","enriched.in"
"123","DDX50",59.5004183883885,-4.45375367212726,1.127518385956,-3.95004970881342,7.81349642241867e-05,0.0074956450482672,"Lean"
"124","LCE1F",75.4238612186302,-7.16878160281265,1.81082577976309,-3.95884666704411,7.53125661781341e-05,0.0074956450482672,"Lean"
"125","LOC728875",22.7229779432953,-6.80489541462162,1.71814472320788,-3.9606066489652,7.47595943625996e-05,0.0074956450482672,"Lean"
"126","OR1B1",28.9938263656704,-7.81319556445889,1.9823853358269,-3.94131021010596,8.10377414696769e-05,0.0074956450482672,"Lean"
"127","OR1S2",47.8053634769358,-7.43148058835952,1.88547659647517,-3.94143348278754,8.09960974928293e-05,0.0074956450482672,"Lean"
"128","OR52M1",15.0897687506423,-6.18245621940977,1.56933666767892,-3.93953467521646,8.16398022016622e-05,0.0074956450482672,"Lean"
"129","OR5H14",25.5215196878517,-7.9828512678557,2.01200683207471,-3.96760644178532,7.25980906005146e-05,0.0074956450482672,"Lean"
"130","PCDH12",32.9332712383083,-8.71862113188068,2.21028273457548,-3.9445727894876,7.9942368796065e-05,0.0074956450482672,"Lean"
"131","PRKAR2B",54.9895879506716,-5.34889877714135,1.35820961371987,-3.93819828921086,8.20957392111044e-05,0.0074956450482672,"Lean"
"132","SNORA10",238.022971305816,-2.68993706645702,0.680237843942685,-3.95440666879989,7.67248140215375e-05,0.0074956450482672,"Lean"
"133","SST",32.418772654907,-9.02053774041796,2.27803718232417,-3.95978512133622,7.50172320238691e-05,0.0074956450482672,"Lean"
"134","ZNF324B",98.9632808294541,-7.65602374742698,1.94099561841555,-3.94437971667172,8.00067991525144e-05,0.0074956450482672,"Lean"
"135","ZNF519",38.4615974760616,-6.69938398225271,1.69757947826398,-3.94643318208805,7.93240451981902e-05,0.0074956450482672,"Lean"
"136","ODF2",76.092136007371,-5.28235901338585,1.34279286634509,-3.9338599018356,8.3592518228853e-05,0.00753071635177106,"Lean"
"137","TOMM7",68.7252224643896,-6.24190560496482,1.58683932041232,-3.9335460904403,8.37017799929122e-05,0.00753071635177106,"Lean"
"138","SOX9",19.9193967806646,-8.25471866990221,2.10128410859651,-3.92841626514547,8.55071126384333e-05,0.00763739616218354,"Lean"
"139","LHX4",19.5974370337475,-8.22532334559189,2.0996840221453,-3.9174100763923,8.95054171857378e-05,0.00793700555562161,"Lean"
"140","FKBP8",87.9665146235538,-3.903546612021,0.997647346818992,-3.91275196036705,9.12502491746987e-05,0.00801401621389358,"Lean"
"141","OTX2-AS1",14.0420778180962,-6.9161225012673,1.7680909174661,-3.91163284248923,9.16742078662173e-05,0.00801401621389358,"Lean"
"142","STOML2",17.8432481229152,-5.99260791446515,1.53303015272939,-3.90899546482891,9.26807036639192e-05,0.00804494615043288,"Lean"
"143","LOC100132356",79.0364790294402,-4.43637002660505,1.13626165772672,-3.90435600500746,9.44766229180621e-05,0.00814348849012611,"Lean"
"144","LAT2",19.2380430018294,-7.85263204178339,2.01413125454326,-3.89876877391692,9.66830438559418e-05,0.00827579999005791,"Lean"
"145","TXNDC12",23.7671220351684,-3.72955481996215,0.957450555672917,-3.89529756692337,9.80782464779023e-05,0.00833732735232154,"Lean"
