"Gene","airspace","bldvat","endotox","exercise","lcanc","sepsis","syno","tb"
"AS3MT",0,1,0,0,0,0,0,0
"ASAH1",1,0,0,0,0,0,0,0
"ASAP1",1,0,0,0,1,0,1,0
"ASAP1-IT1",1,0,0,0,0,0,0,0
"ASB7",0,1,0,0,0,0,0,0
"ASB8",0,1,0,0,0,0,0,0
"ASCC3",0,1,0,0,0,0,0,0
"ASCL2",0,0,0,0,0,1,0,0
"ASF1A",0,1,0,0,0,0,0,0
"ASF1B",1,0,0,0,0,1,1,1
"ASH2L",1,0,0,0,0,0,0,0
"ASMTL",0,0,0,0,0,0,0,1
"ASNA1",0,1,0,0,0,0,1,0
"ASNSD1",1,1,0,0,0,0,0,0
"ASPH",1,0,0,0,0,0,0,0
"ASPM",0,1,0,0,0,0,0,0
"ASPRV1",0,0,0,0,1,1,0,0
"ASRGL1",0,0,0,0,0,0,1,0
"ASTE1",0,1,0,0,0,0,0,0
"ASTN2",0,0,0,0,0,0,1,0
"ASUN",0,1,0,0,0,0,0,0
"ASXL1",0,0,0,0,0,1,0,0
"ASXL2",0,0,0,0,0,1,0,0
"ATAD5",0,1,0,0,0,0,0,0
"ATE1",0,0,0,0,0,0,1,0
"ATF1",0,1,0,0,0,0,0,0
"ATF7",0,0,0,0,0,0,1,0
"ATF7IP",1,0,0,0,0,0,1,0
"ATF7IP2",0,0,0,0,0,0,1,0
"ATG12",0,1,0,0,0,0,0,0
"ATG13",0,0,0,0,1,1,0,0
"ATG14",0,1,0,0,0,0,0,0
"ATG16L1",0,1,0,0,0,0,0,0
"ATG16L2",0,0,0,0,1,1,1,0
"ATG2A",1,0,0,0,0,1,0,0
"ATG3",0,0,0,0,1,0,0,0
"ATG4A",0,1,0,0,0,0,0,0
"ATG4B",1,0,0,0,0,0,0,0
"ATG4C",0,1,0,0,0,0,1,0
"ATG9A",1,0,0,0,0,0,0,0
"ATM",1,0,0,0,1,0,1,0
"ATOH1",0,1,0,0,0,0,0,0
